服务器ID,玩家ID,事件次数
2021008,210968726,2
2021108,7082285,2
2020708,15438680,2
2020408,27837911,2
2020808,201058202,2
2020608,67519980,2
2010302,7867149,2
2021108,60557614,2
2020808,86802600,2
2021108,60826119,2
2088802,214517311,2
2001408,218466173,2
2037402,34545169,2
2021008,212033613,2
2020208,3097009,2
2001408,217944405,2
2020908,204450309,2
2021108,10107034,2
2092102,219338244,2
2020608,73638673,2
2020108,31708742,2
2020408,18300587,2
2020208,121362925,2
2020708,16693199,2
2021108,28082637,2
2020208,22464954,2
2020108,32174685,2
2021108,19750058,2
2021208,4944447,2
2021108,27096446,2
2020208,3871154,2
2020408,20454483,2
2021008,213270020,2
2020608,73227580,2
2020108,57714371,2
2021108,59101656,2
2020708,40010963,2
2021108,64795193,2
2021208,13356809,2
2020408,18139052,2
2090002,216708511,2
2020808,211854711,2
2021008,207753961,2
2089802,215406527,2
2020708,46603856,2
2021008,211230900,2
2021108,10108078,2
2020208,49447860,2
2021008,208171139,2
2021108,66761693,2
2021108,38802676,2
2056102,54767277,2
2020408,72812605,2
2092602,220302912,2
2020608,38434189,2
2020808,201515673,2
2020608,59976267,2
2020108,75835433,2
2091302,217737747,2
2020108,47706644,2
2021208,60825698,2
2020708,6482740,2
2020408,70253325,2
2020708,121909207,2
2020708,46889967,2
2091102,217371926,2
2020808,76604874,2
2021108,42789928,2
2020108,76366906,2
2001408,218056212,2
2020808,204184953,2
2020408,20897667,2
2021108,42760453,2
2092302,219796247,2
2021008,211362929,2
2020808,79300480,2
2020408,27853630,2
2020208,36777778,2
2020908,74311147,2
2020608,40934163,2
2020108,35494962,2
2020808,77237347,2
2091102,217427917,2
2092002,219097384,2
2020608,49021064,2
2020408,18053526,2
2021108,56667850,2
2092402,219925681,2
2020608,80178875,2
2021208,14955578,2
2020808,87149686,2
2020808,80082610,2
2021108,22112662,1
2089802,216061899,1
2020608,46614851,1
2020108,205242682,1
2020608,33840386,1
2020708,16567364,1
2021108,39025757,1
2092102,219297162,1
2020608,48240869,1
2092302,219626763,1
2020708,19281885,1
2021108,62293641,1
2020608,40871687,1
2020608,48253581,1
2090002,215835779,1
2020908,79479691,1
2090002,215897538,1
2092402,219920576,1
2020408,124012824,1
2020408,6200287,1
2020808,202513321,1
2020408,72219864,1
2020208,9657846,1
2020808,206866064,1
2020708,7686740,1
2091302,217734820,1
2020708,21102028,1
2020208,18073657,1
2020608,56014189,1
2021108,63913556,1
2020108,37979975,1
2020208,22451263,1
2090002,215468836,1
2020108,53558809,1
2020408,28231429,1
2020208,14253670,1
2021008,211424840,1
2020708,59451544,1
2020108,53123610,1
2021108,58882735,1
2020808,34512599,1
2020208,12766621,1
2020608,8084564,1
2088902,213636543,1
2020708,7639585,1
2020108,56525472,1
2020808,86252946,1
2020808,81327245,1
2020108,59511678,1
2020408,51347455,1
2020608,73076858,1
2001408,218649506,1
2020208,14502661,1
2020608,37242138,1
2020708,23246777,1
2001408,218473333,1
2020108,63484545,1
2020208,9368915,1
2088902,214058163,1
2021008,208175239,1
2073702,75301430,1
2006102,6983507,1
2090002,215463772,1
2092202,219571788,1
2020808,80172312,1
2020108,43589700,1
2020208,4710718,1
2021108,62019114,1
2046502,38521147,1
2021208,26067089,1
2020608,44274821,1
2020408,37121721,1
2091902,218972480,1
2021108,39479820,1
2088802,214551391,1
2021108,49261765,1
2020108,28783747,1
2020208,44542731,1
2020208,14286191,1
2092402,219845571,1
2020208,52426631,1
2608102,220213133,1
2020108,72753960,1
2020408,69018407,1
2020608,35791616,1
2020808,79928100,1
2020608,35585032,1
2020108,36380670,1
2020108,46080690,1
2020808,77262801,1
2006402,220019118,1
2020808,80809480,1
2020108,56638770,1
2020408,67898653,1
2020708,36562126,1
2030002,27138261,1
2090402,215802134,1
2020608,73772199,1
2020408,7897828,1
2021108,37537706,1
2021208,26453990,1
2089802,216108776,1
2090402,216196177,1
2021108,56778455,1
2021008,211385738,1
2020108,76316753,1
2020808,76874201,1
2020208,5219903,1
2020608,73178107,1
2021108,14760885,1
2020708,17655247,1
2020708,10018651,1
2020108,74219808,1
2020608,52645449,1
2091502,218185935,1
2021108,24122427,1
2021008,207197381,1
2020208,25913684,1
2021108,67389768,1
2021108,19490607,1
2020208,20887961,1
2020608,6110190,1
2020608,58454196,1
2020908,200168511,1
2020108,32953563,1
2021108,56610746,1
2020608,7162798,1
2020608,54377448,1
2020608,48145859,1
2020608,73293025,1
2021108,42098274,1
2020808,202317815,1
2001408,218013306,1
2020108,72288385,1
2020108,28967234,1
2020108,3275117,1
2062602,63278481,1
2020108,36009087,1
2088802,213376612,1
2020808,80128505,1
2020208,12867770,1
2020708,24647209,1
2020708,19322149,1
2020808,80961884,1
2092802,220611784,1
2020108,71563520,1
2092602,220330293,1
2020208,12815044,1
2020208,8054600,1
2020708,23283042,1
2020108,22009185,1
2021208,7830653,1
2020808,77261913,1
2020108,71361025,1
2020208,10907419,1
2020108,34519323,1
2020608,48200005,1
2020708,11698989,1
2020708,36252064,1
2021108,34871036,1
2090802,216929603,1
2088902,213342663,1
2092502,220148221,1
2021108,38980177,1
2058302,49581254,1
2020708,36562476,1
2020208,9453157,1
2021008,206680848,1
2020408,8269931,1
2020608,35614624,1
2090802,217075905,1
2020208,36717689,1
2020108,69885523,1
2092002,219021254,1
2013602,10208007,1
2020108,12541847,1
2020708,23485591,1
2020108,29186422,1
2020208,7196041,1
2020108,33125710,1
2020708,19196936,1
2020208,12826948,1
2020208,52424330,1
2020108,29798681,1
2020608,30581151,1
2090402,214832028,1
2020908,77636397,1
2020608,40692234,1
2020108,76020636,1
2019202,13058775,1
2020608,46707680,1
2021108,12570960,1
2021208,4874161,1
2020808,85362344,1
2020108,120947546,1
2020908,82814072,1
2020108,31351467,1
2020608,35757699,1
2020608,69828688,1
2092702,220484191,1
2020108,28604443,1
2020608,48242635,1
2020408,6294216,1
2020608,47303156,1
2020208,18841126,1
2020108,59301631,1
2020108,30131410,1
2020408,72038219,1
2020108,22599829,1
2020708,18041613,1
2020108,31675252,1
2021008,210614478,1
2020408,18935255,1
2020608,29248240,1
2090002,215853780,1
2021108,22365561,1
2021208,23267191,1
2021208,13756887,1
2021108,19680736,1
2020208,3827980,1
2020908,79492475,1
2020408,20579297,1
2020408,9822342,1
2020408,27633916,1
2020208,18172938,1
2091102,217380833,1
2020708,14750818,1
2020208,4874652,1
2020408,27654360,1
