日期,服务器ID,玩家ID,变动数量,余额,来源,时间
2026-04-23,2074702,74174722,1,1,inner_iap_pack,2026-04-23 12:18:03.065
2026-04-23,2007202,19535546,1,2,inner_iap_pack,2026-04-23 12:06:32.344
2026-04-23,2054002,19893734,1,1,inner_iap_pack,2026-04-23 11:33:22.875
2026-04-23,2000808,219012183,1,1,inner_iap_pack,2026-04-23 11:27:44.108
2026-04-23,2016902,63778994,1,1,inner_iap_pack,2026-04-23 11:22:45.455
2026-04-23,2060302,54937851,1,1,inner_iap_pack,2026-04-23 10:55:02.058
2026-04-23,2006102,6454041,1,1,inner_iap_pack,2026-04-23 10:39:45.001
2026-04-23,2086302,208769033,1,1,inner_iap_pack,2026-04-23 10:32:00.965
2026-04-23,2015702,13591854,1,1,iap_pack,2026-04-23 10:10:48.208
2026-04-23,2013402,7378760,1,1,inner_iap_pack,2026-04-23 10:10:04.292
2026-04-23,2006102,9126115,1,1,inner_iap_pack,2026-04-23 10:09:43.285
2026-04-23,2018202,12303500,1,1,inner_iap_pack,2026-04-23 10:01:58.342
2026-04-23,2031402,24346933,1,1,iap_pack,2026-04-23 09:56:38.395
2026-04-23,2037402,24952300,1,1,inner_iap_pack,2026-04-23 09:48:28.749
2026-04-23,2049702,37121721,1,1,inner_iap_pack,2026-04-23 09:41:55.121
2026-04-23,2091302,218655117,1,1,iap_pack,2026-04-23 09:35:00.754
2026-04-23,2078702,81972838,1,1,iap_pack,2026-04-23 09:32:33.694
2026-04-23,2038602,31692115,1,1,inner_iap_pack,2026-04-23 09:18:28.230
2026-04-23,2013402,9658942,1,1,iap_pack,2026-04-23 08:57:13.590
2026-04-23,2012402,6865857,1,1,iap_pack,2026-04-23 08:49:48.675
2026-04-23,2052702,44228252,1,1,iap_pack,2026-04-23 08:48:15.030
2026-04-23,2058802,47218702,1,1,iap_pack,2026-04-23 08:42:30.888
2026-04-23,2024702,18661613,1,1,iap_pack,2026-04-23 08:30:17.187
2026-04-23,2024702,21450330,1,1,iap_pack,2026-04-23 08:27:09.006
2026-04-23,2010302,9254415,1,1,iap_pack,2026-04-23 08:27:00.691
2026-04-23,2054202,46019951,1,1,iap_pack,2026-04-23 08:26:04.515
2026-04-23,2010302,8763161,1,1,iap_pack,2026-04-23 08:24:44.019
2026-04-23,2016902,56262169,1,1,inner_iap_pack,2026-04-23 08:19:06.509
2026-04-23,2024402,17554939,1,1,iap_pack,2026-04-23 08:18:45.832
2026-04-23,2049702,38749156,1,2,inner_iap_pack,2026-04-23 08:18:17.660
2026-04-23,2012402,19981811,1,1,inner_iap_pack,2026-04-23 08:15:34.645
2026-04-23,2060302,66874900,1,1,iap_pack,2026-04-23 08:13:47.541
2026-04-23,2079102,84490801,1,1,inner_iap_pack,2026-04-23 08:10:39.315
2026-04-23,2047502,40648044,1,1,inner_iap_pack,2026-04-23 08:08:40.931
2026-04-23,2079402,85219672,1,1,iap_pack,2026-04-23 08:06:13.146
2026-04-23,2063202,28877038,1,1,inner_iap_pack,2026-04-23 08:05:21.629
2026-04-23,2006102,6151149,1,1,iap_pack,2026-04-23 08:04:06.872
2026-04-23,2028602,24608076,1,1,iap_pack,2026-04-23 08:03:00.858
