服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2021108,61038801,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2021902,15449721,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2021902,14781682,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2021902,14565614,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2022002,15693605,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2022002,14269055,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2023502,17645731,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2023502,15796043,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":15}]"
2023502,11514791,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2023502,17349694,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2024402,21027534,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2024402,19178613,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2025502,18033086,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2025502,19164413,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2027002,22717485,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2028602,15253610,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2028602,22984581,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2028602,17292278,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2028602,21658214,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":13}]"
2028602,17148960,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2028602,20998101,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":28}]"
2029902,22275402,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2029902,20081399,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2030002,23173683,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2030002,23424006,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2030502,23708923,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
