服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2010302,7803646,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":60}]"
2012102,6277682,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":1}]"
2050502,41019602,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":5}]"
2051302,54184567,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":5}]"
2089802,215060510,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":9}]"
2093902,222420804,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":1}]"
2095102,223735930,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":5}]"
2095102,223752887,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":2}]"
2095102,223796304,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":1}]"
2095102,223798502,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":5}]"
2095102,223804591,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":1}]"
2095102,223804926,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":5}]"
2095202,223807735,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":5}]"
2095202,223818381,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":5}]"
2095202,223823875,,,,"[{""assetType"":""item"",""id"":11117298,""amount"":1}]"
2049702,37121721,,,,"[{""assetType"":""item"",""id"":11117299,""amount"":6}]"
2078702,88054529,,,,"[{""assetType"":""item"",""id"":11117299,""amount"":2}]"
2092702,220475511,,,,"[{""assetType"":""item"",""id"":11117299,""amount"":5}]"
2093902,222420804,,,,"[{""assetType"":""item"",""id"":11117299,""amount"":1}]"
2000808,219012183,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":9}]"
2000808,219153317,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":1}]"
2000808,219532519,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":11}]"
2000808,219535131,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":24}]"
2000808,219577861,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":1}]"
2000808,219915914,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":16}]"
2000808,219986123,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":1}]"
2000808,220167650,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":5}]"
2000808,221086305,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":3}]"
2000808,221396965,,,,"[{""assetType"":""item"",""id"":11117301,""amount"":2}]"
