1980,1787836,7657916720667951104,600
2020,1839015,7657916720678436864,600
2150,1948555,7657916720712515584,600
1910,1692154,7655307536607215616,600
1910,1689674,7655307536607215616,600
1640,1113944,7655307536536436736,600
1510,742380,7655307532207390822,600
1920,1725896,7655307536609837056,600
1850,1574050,7655307536591486976,600
1650,1145622,7655307536539058176,600
1590,922164,7655307536523329536,600
1940,1752188,7655307536615079936,600
1590,912243,7655307536523329536,600
1950,1763700,7655307536617701376,600
1910,1665994,7655307536607215616,600
1440,711717,7655307532189040640,600
1530,783200,7655307532212633618,600
1650,1794425,7655307536539058176,600
2000,1807024,7657916720673193984,600
1270,323763,7655307532144476160,600
1640,1132517,7655307536536436736,600
1510,738000,7655307532207390822,600
1400,673170,7655307532178554880,600
1440,699304,7655307532189040640,600
1920,1725989,7655307536609837056,600
1860,1589730,7655307536594108416,600
1900,1659050,7655307536604594176,600
1960,1767339,7655307536620322816,600
1170,192144,7655307532118261760,600
1670,1239701,7655307536544301056,600
1910,1678334,7655307536607215616,600
1170,118271,7655307532118261760,600
1620,1025435,7655307536531193856,600
1910,1701221,7655307536607215616,600
1390,561078,7655307532175933440,600
1350,498282,7655307532165447680,600
1880,1623312,7655307536599351296,600
1660,1219332,7655307536541679616,600
1910,1697553,7655307536607215616,600
1920,1718349,7655307536609837056,600
1940,1755941,7655307536615079936,600
1910,1681968,7655307536607215616,600
1740,1402632,7655307536562651136,600
1880,1622432,7655307536599351296,600
1600,977393,7655307536525950976,600
1600,967114,7655307536525950976,600
1900,1662647,7655307536604594176,600
1910,1696835,7655307536607215616,600
2030,1819790,7657916720681058304,600
2130,1928664,7657916720707272704,600
2020,1818140,7657916720678436864,600
1550,804376,7655307532217876480,600
1510,737423,7655307532207390822,600
1930,1745810,7655307536612458496,600
1870,1611917,7655307536596729856,600
1170,179176,7655307532118261760,600
1640,1118785,7655307536536436736,600
2210,2011311,7657916720728244224,600
2250,2038727,7657916720738729984,600
2170,1967464,7657916720717758467,600
1600,982908,7655307536525950976,600
2120,1920895,7657916720704651264,600
1400,673597,7655307532178554880,600
1400,672949,7655307532178554880,600
1270,393949,7655307532144476160,600
1530,794322,7655307532212633618,600
1510,777545,7655307532207390822,600
1610,995288,7655307536528572416,600
1920,1716639,7655307536609837056,600
1630,1091514,7655307536533815297,600
1870,1608186,7655307536596729856,600
2250,2031567,7657916720738729984,600
1950,1765852,7655307536617701376,600
1910,1701392,7655307536607215616,600
1420,689341,7655307532183797761,600
1740,1404191,7655307536562651136,600
1570,845823,7655307536518086656,600
1780,1466937,7655307536573136896,600
1940,1750399,7655307536615079936,600
1580,873533,7655307536520708096,600
1840,1571118,7655307536588865536,600
1930,1732345,7655307536612458496,600
1600,956723,7655307536525950976,600
1930,1730134,7655307536612458496,600
2000,1820273,7657916720673193984,600
2000,1812123,7657916720673193984,600
1830,1541656,7655307536586244096,600
1910,1693418,7655307536607215616,600
2130,1918229,7657916720707272704,600
1920,1723034,7655307536609837056,600
1510,737820,7655307532207390822,600
1830,1554106,7655307536586244096,600
1460,725923,7655307532194283520,600
1630,1098046,7655307536533815297,600
1910,1680956,7655307536607215616,600
1590,932898,7655307536523329536,600
1910,1690506,7655307536607215616,600
1620,1052690,7655307536531193856,600
1620,1038279,7655307536531193856,600
1920,1714058,7655307536609837056,600
2180,1991447,7657916720720379904,600
1890,1630483,7655307536601972736,600
1880,1629637,7655307536599351296,600
1910,1671168,7655307536607215616,600
1670,1230342,7655307536544301056,600
2150,1943490,7657916720712515584,600
2060,1861042,7657916720688922624,600
1620,1033664,7655307536531193856,600
1560,818761,7655307532220497920,600
1900,1661291,7655307536604594176,600
1620,1034173,7655307536531193856,600
1940,1747246,7655307536615079936,600
2060,1873129,7657916720688922624,600
2220,2017047,7657916720730865664,600
2090,1890493,7657916720696786944,600
1940,1755311,7655307536615079936,600
2080,1892069,7657916720694165505,600
2250,2040045,7657916720738729984,600
2240,2043081,7657916720736108546,600
1550,811865,7655307532217876480,600
1950,1759946,7655307536617701376,600
1910,1687986,7655307536607215616,600
1970,1781088,7655307536622944256,600
1720,1384210,7655307536557408256,600
1610,995773,7655307536528572416,600
1970,1775934,7655307536622944256,600
1690,1328564,7655307536549543936,600
2110,1904861,7657916720702029824,600
2050,1858651,7657916720686301184,600
2180,1994417,7657916720720379904,600
2000,1813191,7657916720673193984,600
1390,638953,7655307532175933440,600
