1670,1256640,[1146*5],,,
1870,1611460,[1146*5],,,
1620,1035890,[1146*5],,,
1950,1760605,[1146*5],,,
1800,1494351,[1146*5],,,
1930,1744760,[1146*5],,,
1580,885398,[1146*5],,,
1460,728049,[1146*5],,,
1570,839892,[1146*5],,,
1580,871983,[1146*5],,,
1970,1779683,[1146*5],,,
1940,1754674,[1146*5],,,
1920,1708130,[1146*5],,,
1170,1662919,[1146*5],,,
1590,925587,[1146*5],,,
1930,1732507,[1146*5],,,
1890,1642097,[1146*5],,,
1610,1681418,[1146*5],,,
1870,1611351,[1146*5],,,
1800,1490972,[1146*5],,,
1510,739216,[1146*5],,,
1390,641146,[1146*5],,,
1940,1750600,[1146*5],,,
1910,1703145,[1146*5],,,
1270,204176,[1146*5],,,
1610,987162,[1146*5],,,
1570,859170,[1146*5],,,
1600,974477,[1146*5],,,
1910,1672133,[1146*5],,,
1420,1092435,[1146*5],,,
1690,1317492,[1146*5],,,
1970,1778352,[1146*5],,,
1910,1696997,[1146*5],,,
1640,1139081,[1146*5],,,
1920,1713743,[1146*5],,,
1630,1081429,[1146*5],,,
1600,968630,[1146*5],,,
1550,805631,[1146*5],,,
1970,1777771,[1146*5],,,
1910,1692154,[1146*5],,,
1770,1453216,[1146*5],,,
1620,1025383,[1146*5],,,
1920,1710547,[1146*5],,,
1560,814401,[1146*5],,,
1900,1651148,[1146*5],,,
1630,1104854,[1146*5],,,
1740,1399763,[1146*5],,,
1800,1499246,[1146*5],,,
1640,1123022,[1146*5],,,
1660,1199899,[1146*5],,,
1930,1731851,[1146*5],,,
1890,1637670,[1146*5],,,
1650,1161924,[1146*5],,,
1910,1701216,[1146*5],,,
1920,1725531,[1146*5],,,
1390,638175,[1146*5],,,
1910,1670584,[1146*5],,,
1640,1120402,[1146*5],,,
1950,1765786,[1146*5],,,
1920,1716559,[1146*5],,,
1910,1687447,[1146*5],,,
1970,1778275,[1146*5],,,
1970,1778175,[1146*5],,,
1560,820389,[1146*5],,,
1920,1724748,[1146*5],,,
1590,931622,[1146*5],,,
1910,1669272,[1146*5],,,
1510,780664,[1146*5],,,
1270,309817,[1146*5],,,
1620,1054747,[1146*5],,,
1910,1668177,[1146*5],,,
1760,1427815,[1146*5],,,
1930,1733040,[1146*5],,,
1970,1777863,[1146*5],,,
1620,1475436,[1146*5],,,
1620,1054917,[1146*5],,,
1910,1681936,[1146*5],,,
1910,1689648,[1146*5],,,
1550,806433,[1146*5],,,
1940,1753770,[1146*5],,,
1950,1760834,[1146*5],,,
1910,1686142,[1146*5],,,
1910,1668907,[1146*5],,,
1910,1691320,[1146*5],,,
1930,1727911,[1146*5],,,
1350,482182,[1146*5],,,
1870,1604777,[1146*5],,,
1540,798290,[1146*5],,,
1920,1710315,[1146*5],,,
1830,1543572,[1146*5],,,
1630,1070741,[1146*5],,,
1970,1779837,[1146*5],,,
1600,949087,[1146*5],,,
1270,254069,[1146*5],,,
1930,1735614,[1146*5],,,
1910,1678404,[1146*5],,,
1440,717987,[1146*5],,,
1910,1680680,[1146*5],,,
1600,955191,[1146*5],,,
1400,662703,[1146*5],,,
1800,1504022,[1146*5],,,
1390,633144,[1146*5],,,
1930,1744737,[1146*5],,,
1510,767665,[1146*5],,,
1550,812322,[1146*5],,,
1640,1141872,[1146*5],,,
1910,1678334,[1146*5],,,
1420,685880,[1146*5],,,
1790,1501787,[1146*5],,,
1420,683663,[1146*5],,,
1570,839591,[1146*5],,,
1550,803729,[1146*5],,,
1910,1703587,[1146*5],,,
1910,1681884,[1146*5],,,
1940,1753663,[1146*5],,,
1910,1692361,[1146*5],,,
1720,1376585,[1146*5],,,
1870,1615834,[1146*5],,,
1580,902507,[1146*5],,,
1580,902183,[1146*5],,,
1850,1583185,[1146*5],,,
1550,809882,[1146*5],,,
1880,1626080,[1146*5],,,
1850,1578034,[1146*5],,,
1400,674478,[1146*5],,,
1510,777405,[1146*5],,,
1660,1204533,[1146*5],,,
1930,1736733,[1146*5],,,
1570,1019909,[1146*5],,,
1440,712543,[1146*5],,,
1270,331101,[1146*5],,,
1530,779871,[1146*5],,,
1420,690774,[1146*5],,,
1270,342847,[1146*5],,,
1400,675816,[1146*5],,,
1930,1730379,[1146*5],,,
1910,1679230,[1146*5],,,
1270,323763,[1146*5],,,
1530,792949,[1146*5],,,
1610,1014461,[1146*5],,,
1960,1769801,[1146*5],,,
1620,1050406,[1146*5],,,
1770,1447144,[1146*5],,,
1460,735344,[1146*5],,,
1870,1605445,[1146*5],,,
1930,1730271,[1146*5],,,
1640,1110731,[1146*5],,,
1650,1183957,[1146*5],,,
1610,999099,[1146*5],,,
1940,1753943,[1146*5],,,
1900,1645592,[1146*5],,,
1570,856649,[1146*5],,,
1590,902746,[1146*5],,,
1930,1734648,[1146*5],,,
1940,1865633,[1146*5],,,
1700,1344969,[1146*5],,,
1550,811865,[1146*5],,,
1570,843300,[1146*5],,,
1930,1730019,[1146*5],,,
1950,1762649,[1146*5],,,
1850,1580683,[1146*5],,,
1790,1475721,[1146*5],,,
1970,1778934,[1146*5],,,
1600,977752,[1146*5],,,
